uncalibrated,beta,isotonic,sigmoid
63.921210579,64.4550370135,63.871063062,64.2490743224
91.0214405886,91.718784513,91.2747490527,89.8578003337
99.1022317136,99.1670101033,99.2477863949,99.1990121514
95.0749428687,95.1906170184,95.2659967738,94.9882040597
80.29366842,79.8891681278,79.752347555,80.3592051432
85.6510809801,85.1770814427,85.6359348031,85.5587804053
99.638009438,99.610982411,99.610982411,99.638009438
75.5469824293,75.4816229522,75.350140056,75.4681266446
95.698600491,95.7846657472,95.7895374148,95.6379944304
82.3105365071,82.3033680483,82.12213071,82.0792774512
75.61,74.46,74.77,74.86
79.8875180375,80.6010319138,79.8036326722,79.7862629618
79.4444444444,80.78.7777777778,79.5185185185
83.1997311828,81.1057795699,82.7803763441,81.1615591398
82.4469297027,83.1703158285,83.1386959341,82.7747615078
91.7975855131,92.509054326,92.2816901408,91.7975855131
100.100.100.100
98.6574642425,98.7024676495,98.6496712206,98.6341444749
99.0142820379,99.0140000377,99.0288607871,99.0142870589
97.3333333333,97.3266666667,97.5933333333,97.2733333333
97.0842105263,95.0052631579,95.7368421053,93.9578947368
99.43,99.44,99.41,99.43
99.78,99.78,99.765,99.78
99.16,99.175,99.195,99.155
100,100,100,100
99.0125681602,99.0232490534,99.0339143128,99.0126331725
96.8611398685,96.8647677933,96.8775314803,96.7716185918
99.6270213865,99.6342995002,99.6333808752,99.649765225
83.5892429255,83.2737001924,83.3109149406,83.2612349143
99.7575757576,99.7619047619,99.7619047619,99.7619047619
99.9979311509,99.9977340775,99.9973399888,99.9977340047
82.8707290063,82.8207330578,83.3435972233,82.9172406342
94.644658134,94.6294430877,94.6642351893,94.6381340243
98.2156204505,97.8086569415,97.9239486974,97.9235140927
98.0744755391,98.0150809813,98.0146632703,98.0391781207
97.8686868687,97.8383838384,97.8181818182,97.7373737374
89.1778372178,89.2679192919,89.1438831879,89.1718972379
97.1692189304,97.186302424,97.0627164294,97.1869180454
77.5784750337,77.1097840756,77.2568151147,76.494197031
74.2494947817,73.2669834177,73.4688089923,73.8601733984
100,100,100,100
