,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.216163914714,0.220183131299,0.216492161302,0.00316442611833,0.00296175645225,0.00329324995716
autos,0.178285270391,0.183688727172,0.185844344647,0.017693173954,0.0195265228947,0.0160451708246
balance-scale,0.0338809362124,0.0350402925331,0.0342439103066,0.0111063747738,0.0115117298645,0.0109708984381
car,0.131726999494,0.133747161894,0.131591615837,0.00946557146889,0.00818611997732,0.00955817077645
cleveland,0.129153036502,0.128236154077,0.128404052303,0.0273875445992,0.0272681018205,0.0267731143603
credit-approval,0.116918847769,0.130539190005,0.12334290526,0.0176590029004,0.0180575838259,0.0175976360712
dermatology,0.0110275391928,0.0111728284862,0.0109205632868,0.00948791030802,0.00948442436987,0.00937862566244
diabetes,0.167261764802,0.167206445616,0.170616858301,0.0136517349913,0.013075573727,0.012428790893
ecoli,0.0320043702219,0.145837568786,0.0318405347842,0.0183454682015,0.0227590094736,0.0183386113783
flare,0.134663965485,0.203647319526,0.136628567105,0.00778048485847,0.00844829220371,0.00748078053689
german,0.177532245584,0.183537659179,0.186399574041,0.00814250664823,0.0105696941896,0.00663754911851
glass,0.208279395782,0.21290815444,0.203964368626,0.0172321427649,0.0155360133226,0.0141495052278
heart-statlog,0.12204909836,0.121848004893,0.1216450356,0.0277221709595,0.0274631067434,0.0267437633911
hepatitis,0.111808088324,0.167735608584,0.114398946685,0.0332403648622,0.0284560183898,0.0269601048109
horse,0.151810456154,0.218567706782,0.16056117011,0.0197561912224,0.0247338297287,0.0156716963468
ionosphere,0.0869103606048,0.0878229355488,0.0867710713057,0.0211866852394,0.0206143315178,0.0207022882553
iris,6.30887365172e-05,7.49770208018e-05,7.53688480169e-05,0.00044365578348,0.000526586178489,0.000528243045729
landsat-satellite,0.0499091999538,0.0508860980275,0.0501464538738,0.00486634152292,0.0047027096963,0.00471831180901
letter,0.0206805040033,0.0210483021952,0.0206335202697,0.000808020929349,0.000886347268785,0.000674792327595
libras-movement,0.0294015970382,0.0345840551941,0.0306822469339,0.0143049944268,0.0145472082504,0.0128066778014
lung-cancer,0.038741900956,0.0388701454419,0.0370398107937,0.0207063779538,0.0206161261339,0.020769606695
mfeat-karhunen,0.0127333614707,0.0126235023789,0.0128861985871,0.00420274312174,0.00408286339125,0.00374495673145
mfeat-morphological,0.00149983814799,0.00149983810132,0.00149983470382,0.00195220943351,0.00195220950725,0.00195229319003
mfeat-zernike,0.0236643284185,0.0419654517618,0.0252095444265,0.00542311371699,0.00409530794789,0.00486465157672
mushroom,0.0736213306355,0.0961682039439,0.0794625985376,0.00460844488031,0.00523297249946,0.00428536666251
optdigits,0.0759257341807,0.0960928548238,0.0772991025571,0.0023021806461,0.00183450162276,0.0020547735727
page-blocks,0.0624669307757,0.0629037936216,0.0641070965089,0.00397831206316,0.00407590044917,0.00398760905295
pendigits,0.0223375134655,0.0224248706559,0.0225127078212,0.00169290132936,0.00160321019702,0.00178324180858
scene-classification,0.147560197966,0.159986349838,0.148196380543,0.00444155289373,0.00431705139796,0.00426358567647
segment,0.0302625911814,0.0821854344778,0.0305837138322,0.00551387751581,0.00525495444456,0.00529646690514
shuttle,0.083316165814,0.0828248697603,0.0826201317466,0.000981745644145,0.000963413088448,0.000992744380563
sonar,0.181655715151,0.19149023163,0.187116068274,0.0294036347796,0.0288689529529,0.027214127178
spambase,0.110938517204,0.125706808499,0.117555268924,0.00901509120775,0.00647984200389,0.00706378603402
tic-tac,0.196497735085,0.19967343192,0.198531393911,0.00985835367482,0.00735642238518,0.00930168785003
vehicle,0.123103588238,0.125736516102,0.130172997365,0.0158781492364,0.01644468392,0.0142981645096
vowel,0.033970622017,0.0348166023774,0.034089445998,0.00756983740632,0.00751970091537,0.00737036495959
waveform-5000,0.0937244347773,0.0986266783313,0.0937887328218,0.00578961756544,0.00616862260173,0.00587334285266
wdbc,0.0439673331477,0.0434425708933,0.0435270415944,0.0127124853328,0.0124354854535,0.0124117614379
wpbc,0.177037051187,0.198687882707,0.174345557384,0.0172053453695,0.0183569369447,0.0132897071134
yeast,0.186688439865,0.210593408383,0.193767777726,0.00639306975478,0.0126535291839,0.00394345536345
zoo,0.0184686367695,0.0184686852731,0.0184683165573,0.0283005100376,0.0283005608694,0.0283071238546
